,x_pos,y_pos,x_val,y_val,id
409,4,1,29.0,0.5000620902388042,9
410,4,1,30.0,0.5000135127780124,9
411,4,1,31.0,0.500002574509151,9
412,4,1,32.0,0.5000004290536445,9
413,4,1,33.0,0.5000000625024829,9
414,4,2,7.0,0.839931902431692,14
415,4,2,8.0,0.839931902431692,14
416,4,2,9.0,0.839931902431692,14
417,4,2,10.0,0.839931902431692,14
418,4,2,11.0,0.8399319024316878,14
419,4,2,12.0,0.8399319024313746,14
420,4,2,13.0,0.839931902414363,14
421,4,2,14.0,0.8399319017510595,14
422,4,2,15.0,0.839931883174841,14
423,4,2,16.0,0.8399315093350866,14
424,4,2,17.0,0.8399261004423331,14
425,4,2,18.0,0.8398698093870088,14
426,4,2,19.0,0.839448221139182,14
427,4,2,20.0,0.8371749256177092,14
428,4,2,21.0,0.828345649370754,14
429,4,2,22.0,0.8036366176746296,14
430,4,2,23.0,0.7537967905520544,14
431,4,2,24.0,0.6813232633080419,14
432,4,2,25.0,0.605340549072901,14
433,4,2,26.0,0.5479038878594178,14
434,4,2,27.0,0.5166024244574628,14
435,4,2,28.0,0.5043065090225467,14
436,4,3,5.0,0.9969865300567873,19
437,4,3,6.0,0.9802861724161045,19
438,4,3,7.0,0.921170192378527,19
439,4,3,8.0,0.7995218426586637,19
440,4,3,9.0,0.6538501321899286,19
441,4,3,10.0,0.5523123358989909,19
442,4,3,11.0,0.5111373323214137,19
443,4,3,12.0,0.5014356055217087,19
444,4,3,13.0,0.5001097768255115,19
445,4,3,14.0,0.5000049166271203,19
446,4,3,15.0,0.5000001279092622,19
447,4,3,16.0,0.5000000019221181,19
448,4,3,17.0,0.5000000000166187,19
449,4,3,18.0,0.5000000000000824,19
450,4,3,19.0,0.5000000000000002,19
451,4,3,20.0,0.5,19
